userID,Rcuisine
U1139,Asian
U1140,Mexican/Southwestern/Latin American
U1140, Asian
U1140, Italian
U1140, Mediterranean/Middle Eastern
U1140, European
U1140, African
U1141,Mexican/Southwestern/Latin American
U1141, American
U1141, Italian
U1141, Desserts/Cafe
U1141, European
U1142,Mexican/Southwestern/Latin American
U1142, Asian
U1142, Mediterranean/Middle Eastern
U1143,Mexican/Southwestern/Latin American
U1143, Asian
U1143, American
U1143, Mediterranean/Middle Eastern
U1143, Desserts/Cafe
U1143, Modern
U1144,Asian
U1144, European
U1144, African
U1144, Austronesian
U1145,Mexican/Southwestern/Latin American
U1145, Asian
U1145, Italian
U1146,Mexican/Southwestern/Latin American
U1146, Asian
U1146, American
U1146, Italian
U1146, Mediterranean/Middle Eastern
U1146, Desserts/Cafe
U1146, European
U1147,Mexican/Southwestern/Latin American
U1147, American
U1147, Mediterranean/Middle Eastern
U1147, European
U1147, Modern
U1148,Mexican/Southwestern/Latin American
U1148, Asian
U1148, American
U1148, Italian
U1148, Mediterranean/Middle Eastern
U1148, Desserts/Cafe
U1148, European
U1149,Mediterranean/Middle Eastern
U1149, Desserts/Cafe
U1149, European
U1149, African
U1150,Asian
U1151,Mexican/Southwestern/Latin American
U1151, Asian
U1151, American
U1151, Italian
U1151, Mediterranean/Middle Eastern
U1151, Desserts/Cafe
U1151, European
U1152,American
U1152, Italian
U1152, Mediterranean/Middle Eastern
U1152, Desserts/Cafe
U1152, European
U1152, African
U1153,Asian
U1153, American
U1153, European
U1154,Asian
U1154, American
U1154, Italian
U1154, Mediterranean/Middle Eastern
U1154, Desserts/Cafe
U1155,Mexican/Southwestern/Latin American
U1155, Asian
U1155, American
U1155, Italian
U1155, Mediterranean/Middle Eastern
U1155, Desserts/Cafe
U1155, European
U1155, African
U1155, Austronesian
U1155, Modern
U1156,Mexican/Southwestern/Latin American
U1156, Asian
U1156, American
U1156, Italian
U1156, Desserts/Cafe
U1156, European
U1156, African
U1156, Austronesian
U1156, Modern
U1157,Asian
U1157, American
U1157, Mediterranean/Middle Eastern
U1157, Desserts/Cafe
U1157, African
U1158,Mexican/Southwestern/Latin American
U1158, Asian
U1158, American
U1158, Italian
U1159,Mexican/Southwestern/Latin American
U1159, Asian
U1159, American
U1159, Italian
U1159, Mediterranean/Middle Eastern
U1159, Desserts/Cafe
U1159, European
U1159, African
U1159, Austronesian
U1159, Modern
U1160,Mexican/Southwestern/Latin American
U1161,Mexican/Southwestern/Latin American
U1161, Asian
U1161, American
U1161, Italian
U1161, Mediterranean/Middle Eastern
U1161, Desserts/Cafe
U1162,Mexican/Southwestern/Latin American
U1162, Asian
U1162, American
U1162, Italian
U1162, Mediterranean/Middle Eastern
U1162, Desserts/Cafe
U1162, European
U1162, African
U1162, Austronesian
U1162, Modern
U1163,Mexican/Southwestern/Latin American
U1163, Asian
U1163, American
U1163, Italian
U1163, Mediterranean/Middle Eastern
U1163, Desserts/Cafe
U1163, European
U1163, African
U1163, Austronesian
U1163, Modern
U1164,Asian
U1164, Desserts/Cafe
U1164, African
U1165,Mexican/Southwestern/Latin American
U1165, Asian
U1165, American
U1165, Italian
U1165, Desserts/Cafe
U1165, European
U1166,Asian
U1166, American
U1166, Italian
U1166, Desserts/Cafe
U1166, European
U1167,American
U1167, Modern
U1168,Mexican/Southwestern/Latin American
U1168, Asian
U1168, American
U1168, Italian
U1168, Desserts/Cafe
U1168, European
U1168, African
U1169,Mexican/Southwestern/Latin American
U1169, Asian
U1169, American
U1169, Italian
U1169, Mediterranean/Middle Eastern
U1169, Desserts/Cafe
U1169, European
U1169, Austronesian
U1170,Mexican/Southwestern/Latin American
U1170, Asian
U1170, American
U1170, Italian
U1170, Mediterranean/Middle Eastern
U1170, Desserts/Cafe
U1171,Mexican/Southwestern/Latin American
U1171, Asian
U1171, Italian
U1171, Desserts/Cafe
U1172,Asian
U1173,Mexican/Southwestern/Latin American
U1173, Asian
U1173, American
U1173, Italian
U1173, Desserts/Cafe
U1174,Mexican/Southwestern/Latin American
U1174, Asian
U1174, American
U1174, Italian
U1174, Mediterranean/Middle Eastern
U1174, Desserts/Cafe
U1174, European
U1174, African
U1174, Austronesian
U1174, Modern
U1175,Mexican/Southwestern/Latin American
U1175, Asian
U1175, American
U1175, Italian
U1175, Mediterranean/Middle Eastern
U1176,Mexican/Southwestern/Latin American
U1176, Asian
U1176, Desserts/Cafe
U1176, European
U1177,Mexican/Southwestern/Latin American
U1177, Asian
U1177, American
U1177, Italian
U1177, Desserts/Cafe
U1177, Modern
U1178,Mexican/Southwestern/Latin American
U1178, Asian
U1178, American
U1178, Italian
U1178, Desserts/Cafe
U1178, Austronesian
U1179,Mexican/Southwestern/Latin American
U1179, Asian
U1179, American
U1179, Italian
U1179, Mediterranean/Middle Eastern
U1180,Asian
U1180, American
U1180, Italian
U1180, Desserts/Cafe
U1180, European
U1180, Austronesian
U1180, Modern
U1181,Mexican/Southwestern/Latin American
U1181, Asian
U1181, Desserts/Cafe
U1182,Mexican/Southwestern/Latin American
U1182, Asian
U1182, American
U1182, Italian
U1182, Mediterranean/Middle Eastern
U1182, Desserts/Cafe
U1182, European
U1183,Mexican/Southwestern/Latin American
U1183, Asian
U1183, Italian
U1183, Mediterranean/Middle Eastern
U1183, Desserts/Cafe
U1183, European
U1183, Modern
U1184,Mexican/Southwestern/Latin American
U1184, Asian
U1184, American
U1184, Italian
U1184, Mediterranean/Middle Eastern
U1184, Desserts/Cafe
U1185,Asian
U1185, American
U1185, Italian
U1185, European
U1186,Mexican/Southwestern/Latin American
U1186, Asian
U1186, Italian
U1186, Mediterranean/Middle Eastern
U1187,Mexican/Southwestern/Latin American
U1187, Asian
U1187, American
U1187, Italian
U1187, Mediterranean/Middle Eastern
U1187, Desserts/Cafe
U1187, African
U1187, Modern
U1188,Mexican/Southwestern/Latin American
U1188, Asian
U1188, American
U1188, Italian
U1188, Mediterranean/Middle Eastern
U1188, Desserts/Cafe
U1188, European
U1188, Modern
U1189,Mexican/Southwestern/Latin American
U1189, Asian
U1189, Italian
U1189, Mediterranean/Middle Eastern
U1190,Mexican/Southwestern/Latin American
U1190, Asian
U1190, American
U1190, Italian
U1190, Mediterranean/Middle Eastern
U1190, Desserts/Cafe
U1190, European
U1190, African
U1190, Austronesian
U1190, Modern
